Model,Fold,Accuracy_All,Precision_All,Recall_All,F1_Score_All,Accuracy_Female,Precision_Female,Recall_Female,F1_Score_Female
Random Forest,8,0.9828369106439159,0.9825904401074591,0.9828369106439159,0.9822507381342935,0.9723835223391174,0.9714092739408212,0.9723835223391174,0.9705712243353608
Random Forest,9,0.9830069412494249,0.9828051434552446,0.9830069412494249,0.9824004468978252,0.9728446509085941,0.9720067396921845,0.9728446509085941,0.9709972182781678
Random Forest,10,0.9825768638354904,0.9823064380923741,0.9825768638354904,0.9819861666121534,0.9719053149337341,0.9708508809003487,0.9719053149337341,0.9700693261837015
Random Forest,11,0.9830369466503971,0.9828116030946734,0.9830369466503971,0.9824522973308887,0.9726738625495286,0.9717673609810026,0.9726738625495286,0.970856248962096
Random Forest,12,0.9828869196455362,0.9826585198604508,0.9828869196455362,0.9822901261102838,0.9726738625495286,0.971760219238305,0.9726738625495286,0.9708637563113793
Random Forest,13,0.9828969214458603,0.9826817861091762,0.9828969214458603,0.982290268213061,0.9728275720726876,0.9719733152622309,0.9728275720726876,0.9709921152500817
Random Forest,14,0.9829469304474805,0.9827218067743712,0.9829469304474805,0.9823532995801316,0.9725372318622763,0.9716272892709057,0.9725372318622763,0.9706916317176127
Random Forest,15,0.9829269268468325,0.9827094279534202,0.9829269268468325,0.9823250954649567,0.9727080202213417,0.9718215144298377,0.9727080202213417,0.9708776580079487
Random Forest,16,0.9831369646536376,0.982953138591565,0.9831369646536376,0.9825292659061142,0.9729983604317529,0.9722200951224408,0.9729983604317529,0.9711295747550193
Random Forest,17,0.9826568782380829,0.9824141195197683,0.9826568782380829,0.982049340836446,0.9723493646673043,0.9714077568077967,0.9723493646673043,0.9704930442772809
Random Forest,18,0.9828269088435918,0.9826017099163504,0.9828269088435918,0.9822215517945699,0.9726567837136221,0.9717639974390413,0.9726567837136221,0.9708211018455383
Random Forest,19,0.9828869196455362,0.9826521773924912,0.9828869196455362,0.9822954913609915,0.9724859953545566,0.9715482229550996,0.9724859953545566,0.9706577761919504
Random Forest,20,0.9829669340481286,0.9827746905907842,0.9829669340481286,0.9823493460944901,0.9728275720726876,0.9720088825605467,0.9728275720726876,0.9709582813775547
ANN,1,0.4808865595807245,0.8900792260074305,0.4808865595807245,0.5792781278089996,0.14411121737942342,0.9300390314380139,0.14411121737942342,0.13805546689536208
ANN,2,0.46532375827648975,0.8936562257153399,0.46532375827648975,0.5631549334568259,0.11468438311244705,0.9298484321479383,0.11468438311244705,0.08509919622261071
ANN,3,0.46650397071472866,0.8994612244892889,0.46650397071472866,0.5634022012978871,0.12276267249624266,0.929899584093251,0.12276267249624266,0.0999528123794059
ANN,4,0.4780160428877198,0.8925096220767673,0.4780160428877198,0.5760610978264221,0.13874846290476842,0.9300034049266369,0.13874846290476842,0.12863728262755528
ANN,5,0.4645736232521854,0.8922476727881921,0.4645736232521854,0.5626267128830944,0.11500888099467141,0.9298504703018395,0.11500888099467141,0.08570060429656519
ANN,6,0.4678842191594487,0.898170245315845,0.4678842191594487,0.5650097592746083,0.12264312064489684,0.9298988207693955,0.12264312064489684,0.09973477383717605
ANN,7,0.47204496809425694,0.9009990689363273,0.47204496809425694,0.5687528862816003,0.13248053012706654,0.9299622782122637,0.13248053012706654,0.11750043343267723
ANN,8,0.46859434698245683,0.8920303541180512,0.46859434698245683,0.5667216732011644,0.1204057931411395,0.9298845709344142,0.1204057931411395,0.09564451913647247
ANN,9,0.47733592046568385,0.8910273887966029,0.47733592046568385,0.5756178326329532,0.13615247984697362,0.9299863049835095,0.13615247984697362,0.12404174781820701
ANN,10,0.4823768278290092,0.8864340492299992,0.4823768278290092,0.5813044329230508,0.14809058614564832,0.9300657337749022,0.14809058614564832,0.14497939422061146
ANN,11,0.4667840211238023,0.8925711401375376,0.4667840211238023,0.5648088755622003,0.11847588468369996,0.9298723325767527,0.11847588468369996,0.09210124116044312
ANN,12,0.4739153047548559,0.8964915333503622,0.4739153047548559,0.5713472677154656,0.13225850526028146,0.9299608314238744,0.13225850526028146,0.11710335970148976
ANN,13,0.4752055369966594,0.8956951249169051,0.4752055369966594,0.5727632914418019,0.13324907774286104,0.9299672915870189,0.13324907774286104,0.11887354834177438
ANN,14,0.48963813486427554,0.8905513290954279,0.48963813486427554,0.5877835440034855,0.15886733160267796,0.9301392110792863,0.15886733160267796,0.16345919707961995
ANN,15,0.47648576743813886,0.8980169556178282,0.47648576743813886,0.5736760709562154,0.1346153846153846,0.9299762244611784,0.1346153846153846,0.12130940107573619
ANN,16,0.466563981516673,0.8963263879239406,0.466563981516673,0.5639738167248873,0.1191078016122421,0.9298763343919808,0.1191078016122421,0.09326296939501466
ANN,17,0.4664839671140805,0.8992131520046472,0.4664839671140805,0.5634223125848254,0.12023500478207405,0.9298834859009314,0.12023500478207405,0.09533151808493566
ANN,18,0.4655638014842672,0.8955290603827163,0.4655638014842672,0.5630911666228807,0.11844172701188686,0.929872116412854,0.11844172701188686,0.09203840223853252
ANN,19,0.47786601588285893,0.8873362297978568,0.47786601588285893,0.5767200870248502,0.13929498565377785,0.9300070169896549,0.13929498565377785,0.12960172174312456
ANN,20,0.467934228161069,0.8895088284734749,0.467934228161069,0.5664669231334372,0.12139636562371908,0.9298908717833362,0.12139636562371908,0.09745777458870694
